Art;Typ;Anlagennr;SAP-Nr.;Einbauort;Einbau Ur-Weiche;Erneuerung;Stammgleis;Zweiggleis;LETZTE_INSTANDHALTUNG;GW201_ID1
Weiche;Einfache Weiche (EW);112;S-IS-00400-B0007-W0112;Glw Reute;01.05.1986;23.06.2018;400: Einwärtsgleis;400.007: GW Kaltentaler Abfahrt/Reute W0113-W0113/1;;2.090
Weiche;Einfache Weiche (EW);113;S-IS-00400-B0007-W0113;Glw. Reute;01.03.1986;23.06.2018;400: Auswärtsgleis;400.007: GW Kaltentaler Abfahrt/Reute W0113-W0113/1;;2.099
Weiche;Innenbogenweiche (IBW);533;S-IS-00300-B0004-W0533;Glw. Peregrinastraße (auswärts);20.08.1986;23.06.2018;300: Auswärtsgleis;300.004: Gleis 4 Albstraße;;2.450
Weiche;Einfache Weiche (EW);534;S-IS-00300-B0004-W0534;Glw. Peregrinastraße (einwärts);20.08.1986;23.06.2018;300: Einwärtsgleis;300.004: Gleis 4 Albstraße;;2.461
Weiche;Einfache Weiche (EW);535;S-IS-00300-B0005-W0535;Abzweig Kehranlage Peregrinastraße;20.08.1986;23.06.2018;300: Einwärtsgleis;300.005: Gleis 5 Albstraße;;2.472
Weiche;Einfache Weiche (EW);639;S-IS-00340-A0000-W0639;Abzweig Pflugmühle;01.02.1982;23.06.2018;330: Auswärtsgleis;340: Auswärtsgleis;;2.914
Weiche;Einfache Weiche (EW);640;S-IS-00340-E0000-W0640;Abzweig Pflugmühle (stadteinwärts);01.02.1982;23.06.2018;330: Einwärtsgleis;340: Einwärtsgleis;;2.923
Weiche;Kombiweiche (KW);650;S-IS-00300-B0007-W0650;Bahnhof Möhringen;01.03.1987;23.06.2018;300: Einwärtsgleis;300.007: Gleis 7 Möhringen Bhf.;;2.577
Weiche;Kombiweiche (KW);651;S-IS-00300-B0007-W0651;Bahnhof Möhringen;01.03.1987;23.06.2018;300: Auswärtsgleis;300.007: Gleis 7 Möhringen Bhf.;;2.588
Weiche;Kombiweiche (KW);652;S-IS-00300-B0008-W0652;Bahnhof Möhringen;15.01.1990;23.06.2018;300: Auswärtsgleis;300.008: Gleis 8 Möhringen Bhf.;;2.600
